step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,5.600000000000000000e+04,1.579838202784982285e-02,1.000000000000000000e+00
2.000000000000000000e+00,1.120000000000000000e+05,3.160136554431659806e-02,1.000000000000000000e+00
3.000000000000000000e+00,1.680000000000000000e+05,4.740886111927958974e-02,1.000000000000000000e+00
4.000000000000000000e+00,2.240000000000000000e+05,6.322097227820708265e-02,1.000000000000000000e+00
5.000000000000000000e+00,2.800000000000000000e+05,7.903763039594757789e-02,1.000000000000000000e+00
6.000000000000000000e+00,3.360000000000000000e+05,9.485887715123103581e-02,1.000000000000000000e+00
7.000000000000000000e+00,3.920000000000000000e+05,1.106847069263270089e-01,1.000000000000000000e+00
8.000000000000000000e+00,4.480000000000000000e+05,1.265151184147920438e-01,1.000000000000000000e+00
9.000000000000000000e+00,5.040000000000000000e+05,1.423500416228134779e-01,1.000000000000000000e+00
1.000000000000000000e+01,5.600000000000000000e+05,1.581895892571216211e-01,1.000000000000000000e+00
1.100000000000000000e+01,6.160000000000000000e+05,1.740337548996177819e-01,1.000000000000000000e+00
1.200000000000000000e+01,6.720000000000000000e+05,1.898825163008349970e-01,1.000000000000000000e+00
1.300000000000000000e+01,7.280000000000000000e+05,2.057358672275726719e-01,1.000000000000000000e+00
1.400000000000000000e+01,7.840000000000000000e+05,2.215937992499602827e-01,1.000000000000000000e+00
1.500000000000000000e+01,8.400000000000000000e+05,2.374564045465730466e-01,1.000000000000000000e+00
1.600000000000000000e+01,8.960000000000000000e+05,2.533235084234671253e-01,1.000000000000000000e+00
1.700000000000000000e+01,9.520000000000000000e+05,2.691952544446554740e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.008000000000000000e+06,2.850716409673398899e-01,1.000000000000000000e+00
1.900000000000000000e+01,1.064000000000000000e+06,3.009526450128074959e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.120000000000000000e+06,3.168382258042325983e-01,1.000000000000000000e+00
2.100000000000000000e+01,1.176000000000000000e+06,3.327284078259208910e-01,1.000000000000000000e+00
2.200000000000000000e+01,1.232000000000000000e+06,3.486232860480727447e-01,1.000000000000000000e+00
2.300000000000000000e+01,1.288000000000000000e+06,3.645227711780021362e-01,1.000000000000000000e+00
2.400000000000000000e+01,1.344000000000000000e+06,3.804269244344817835e-01,1.000000000000000000e+00
2.500000000000000000e+01,1.400000000000000000e+06,3.963356390428898757e-01,1.000000000000000000e+00
2.600000000000000000e+01,1.456000000000000000e+06,4.122489485131075604e-01,1.000000000000000000e+00
2.700000000000000000e+01,1.512000000000000000e+06,4.281670192335608749e-01,1.000000000000000000e+00
2.800000000000000000e+01,1.568000000000000000e+06,4.440896757570895192e-01,1.000000000000000000e+00
2.900000000000000000e+01,1.624000000000000000e+06,4.600169720500311699e-01,1.000000000000000000e+00
3.000000000000000000e+01,1.680000000000000000e+06,4.759488902600503835e-01,1.000000000000000000e+00
3.100000000000000000e+01,1.736000000000000000e+06,4.918855470785401529e-01,1.000000000000000000e+00
3.200000000000000000e+01,1.792000000000000000e+06,5.078267291787224025e-01,1.000000000000000000e+00
3.300000000000000000e+01,1.848000000000000000e+06,5.237726763675670805e-01,1.000000000000000000e+00
3.400000000000000000e+01,1.904000000000000000e+06,5.397232093933496122e-01,1.000000000000000000e+00
3.500000000000000000e+01,1.960000000000000000e+06,5.556784940086251234e-01,1.000000000000000000e+00
3.600000000000000000e+01,2.016000000000000000e+06,5.716384236434656207e-01,1.000000000000000000e+00
3.700000000000000000e+01,2.072000000000000000e+06,5.876030286108228085e-01,1.000000000000000000e+00
3.800000000000000000e+01,2.128000000000000000e+06,6.035722184818698155e-01,1.000000000000000000e+00
3.900000000000000000e+01,2.184000000000000000e+06,6.195462325874271370e-01,1.000000000000000000e+00
4.000000000000000000e+01,2.240000000000000000e+06,6.355247361991286370e-01,1.000000000000000000e+00
4.100000000000000000e+01,2.296000000000000000e+06,6.515080414116439789e-01,1.000000000000000000e+00
4.200000000000000000e+01,2.352000000000000000e+06,6.674959834144273962e-01,1.000000000000000000e+00
4.300000000000000000e+01,2.408000000000000000e+06,6.834886721748025806e-01,1.000000000000000000e+00
4.400000000000000000e+01,2.464000000000000000e+06,6.994859907573762747e-01,1.000000000000000000e+00
4.500000000000000000e+01,2.520000000000000000e+06,7.154880440424645771e-01,1.000000000000000000e+00
4.600000000000000000e+01,2.576000000000000000e+06,7.314948069262758867e-01,1.000000000000000000e+00
4.700000000000000000e+01,2.632000000000000000e+06,7.475063002216619790e-01,1.000000000000000000e+00
4.800000000000000000e+01,2.688000000000000000e+06,7.635224080167481997e-01,1.000000000000000000e+00
4.900000000000000000e+01,2.744000000000000000e+06,7.795432687122302307e-01,1.000000000000000000e+00
5.000000000000000000e+01,2.800000000000000000e+06,7.955687735255114745e-01,1.000000000000000000e+00
5.100000000000000000e+01,2.856000000000000000e+06,8.115990395103762634e-01,1.000000000000000000e+00
5.200000000000000000e+01,2.912000000000000000e+06,8.276340496261717083e-01,1.000000000000000000e+00
5.300000000000000000e+01,2.968000000000000000e+06,8.436737559375153683e-01,1.000000000000000000e+00
5.400000000000000000e+01,3.024000000000000000e+06,8.597183425852211736e-01,1.000000000000000000e+00
5.500000000000000000e+01,3.080000000000000000e+06,8.757674769328536168e-01,1.000000000000000000e+00
5.600000000000000000e+01,3.136000000000000000e+06,8.918213156819018161e-01,1.000000000000000000e+00
5.700000000000000000e+01,3.192000000000000000e+06,9.078798627607704841e-01,1.000000000000000000e+00
5.800000000000000000e+01,3.248000000000000000e+06,9.239432603895330054e-01,1.000000000000000000e+00
5.900000000000000000e+01,3.304000000000000000e+06,9.400112946599987751e-01,1.000000000000000000e+00
6.000000000000000000e+01,3.360000000000000000e+06,9.560842181885731428e-01,1.000000000000000000e+00
6.100000000000000000e+01,3.416000000000000000e+06,9.721617443968310068e-01,1.000000000000000000e+00
6.200000000000000000e+01,3.472000000000000000e+06,9.882440955334352850e-01,1.000000000000000000e+00
6.300000000000000000e+01,3.528000000000000000e+06,1.004331185228060974e+00,0.000000000000000000e+00
