step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,1.400000000000000000e+04,9.985981778693578045e-03,1.000000000000000000e+00
2.000000000000000000e+00,2.800000000000000000e+04,1.997337941601382352e-02,1.000000000000000000e+00
3.000000000000000000e+00,4.200000000000000000e+04,2.996219460905625437e-02,1.000000000000000000e+00
4.000000000000000000e+00,5.600000000000000000e+04,3.995242276405130966e-02,1.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+04,4.994406983594449484e-02,1.000000000000000000e+00
6.000000000000000000e+00,8.400000000000000000e+04,5.993713376951449040e-02,1.000000000000000000e+00
7.000000000000000000e+00,9.800000000000000000e+04,6.993161438284596632e-02,1.000000000000000000e+00
8.000000000000000000e+00,1.120000000000000000e+05,7.992751352034418999e-02,1.000000000000000000e+00
9.000000000000000000e+00,1.260000000000000000e+05,8.992483070699956726e-02,1.000000000000000000e+00
1.000000000000000000e+01,1.400000000000000000e+05,9.992356720233391831e-02,1.000000000000000000e+00
1.100000000000000000e+01,1.540000000000000000e+05,1.099237221506601109e-01,1.000000000000000000e+00
1.200000000000000000e+01,1.680000000000000000e+05,1.199252968610472342e-01,1.000000000000000000e+00
1.300000000000000000e+01,1.820000000000000000e+05,1.299282914801115074e-01,1.000000000000000000e+00
1.400000000000000000e+01,1.960000000000000000e+05,1.399327063173135266e-01,1.000000000000000000e+00
1.500000000000000000e+01,2.100000000000000000e+05,1.499385418853133589e-01,1.000000000000000000e+00
1.600000000000000000e+01,2.240000000000000000e+05,1.599457984719955539e-01,1.000000000000000000e+00
1.700000000000000000e+01,2.380000000000000000e+05,1.699544767139766210e-01,1.000000000000000000e+00
1.800000000000000000e+01,2.520000000000000000e+05,1.799645767228872373e-01,1.000000000000000000e+00
1.900000000000000000e+01,2.660000000000000000e+05,1.899760991836255131e-01,1.000000000000000000e+00
2.000000000000000000e+01,2.800000000000000000e+05,1.999890442240726540e-01,1.000000000000000000e+00
2.100000000000000000e+01,2.940000000000000000e+05,2.100034124846016648e-01,1.000000000000000000e+00
2.200000000000000000e+01,3.080000000000000000e+05,2.200192042403120440e-01,1.000000000000000000e+00
2.300000000000000000e+01,3.220000000000000000e+05,2.300364198676391192e-01,1.000000000000000000e+00
2.400000000000000000e+01,3.360000000000000000e+05,2.400550599227805337e-01,1.000000000000000000e+00
2.500000000000000000e+01,3.500000000000000000e+05,2.500751245244703935e-01,1.000000000000000000e+00
2.600000000000000000e+01,3.640000000000000000e+05,2.600966142997837016e-01,1.000000000000000000e+00
2.700000000000000000e+01,3.780000000000000000e+05,2.701195296229478293e-01,1.000000000000000000e+00
2.800000000000000000e+01,3.920000000000000000e+05,2.801438709237825120e-01,1.000000000000000000e+00
2.900000000000000000e+01,4.060000000000000000e+05,2.901696384358766201e-01,1.000000000000000000e+00
3.000000000000000000e+01,4.200000000000000000e+05,3.001968326705840018e-01,1.000000000000000000e+00
3.100000000000000000e+01,4.340000000000000000e+05,3.102254540956588258e-01,1.000000000000000000e+00
3.200000000000000000e+01,4.480000000000000000e+05,3.202555030578455586e-01,1.000000000000000000e+00
3.300000000000000000e+01,4.620000000000000000e+05,3.302869799359942071e-01,1.000000000000000000e+00
3.400000000000000000e+01,4.760000000000000000e+05,3.403198850733334946e-01,1.000000000000000000e+00
3.500000000000000000e+01,4.900000000000000000e+05,3.503542190451056637e-01,1.000000000000000000e+00
3.600000000000000000e+01,5.040000000000000000e+05,3.603899820635728668e-01,1.000000000000000000e+00
3.700000000000000000e+01,5.180000000000000000e+05,3.704271746903604057e-01,1.000000000000000000e+00
3.800000000000000000e+01,5.320000000000000000e+05,3.804657972256312859e-01,1.000000000000000000e+00
3.900000000000000000e+01,5.460000000000000000e+05,3.905058501145097227e-01,1.000000000000000000e+00
4.000000000000000000e+01,5.600000000000000000e+05,4.005473337686894508e-01,1.000000000000000000e+00
4.100000000000000000e+01,5.740000000000000000e+05,4.105902485053585793e-01,1.000000000000000000e+00
4.200000000000000000e+01,5.880000000000000000e+05,4.206345948295512338e-01,1.000000000000000000e+00
4.300000000000000000e+01,6.020000000000000000e+05,4.306803731259206680e-01,1.000000000000000000e+00
4.400000000000000000e+01,6.160000000000000000e+05,4.407275837772760552e-01,1.000000000000000000e+00
4.500000000000000000e+01,6.300000000000000000e+05,4.507762271181653402e-01,1.000000000000000000e+00
4.600000000000000000e+01,6.440000000000000000e+05,4.608263036945803859e-01,1.000000000000000000e+00
4.700000000000000000e+01,6.580000000000000000e+05,4.708778138177637240e-01,1.000000000000000000e+00
4.800000000000000000e+01,6.720000000000000000e+05,4.809307578928700422e-01,1.000000000000000000e+00
4.900000000000000000e+01,6.860000000000000000e+05,4.909851363526375745e-01,1.000000000000000000e+00
5.000000000000000000e+01,7.000000000000000000e+05,5.010409495918738410e-01,1.000000000000000000e+00
5.100000000000000000e+01,7.140000000000000000e+05,5.110981979831580313e-01,1.000000000000000000e+00
5.200000000000000000e+01,7.280000000000000000e+05,5.211568819818566123e-01,1.000000000000000000e+00
5.300000000000000000e+01,7.420000000000000000e+05,5.312170019703645885e-01,1.000000000000000000e+00
5.400000000000000000e+01,7.560000000000000000e+05,5.412785583164096970e-01,1.000000000000000000e+00
5.500000000000000000e+01,7.700000000000000000e+05,5.513415514783419624e-01,1.000000000000000000e+00
