step,total_load_N,max_DCR,all_members_safe
1.000000000000000000e+00,2.800000000000000000e+04,1.841854287246140129e-02,1.000000000000000000e+00
2.000000000000000000e+00,5.600000000000000000e+04,3.684267717318369384e-02,1.000000000000000000e+00
3.000000000000000000e+00,8.400000000000000000e+04,5.527240705860157755e-02,1.000000000000000000e+00
4.000000000000000000e+00,1.120000000000000000e+05,7.370773594580934396e-02,1.000000000000000000e+00
5.000000000000000000e+00,1.400000000000000000e+05,9.214866754423417516e-02,1.000000000000000000e+00
6.000000000000000000e+00,1.680000000000000000e+05,1.105952050974918915e-01,1.000000000000000000e+00
7.000000000000000000e+00,1.960000000000000000e+05,1.290473530575808603e-01,1.000000000000000000e+00
8.000000000000000000e+00,2.240000000000000000e+05,1.475051145047885925e-01,1.000000000000000000e+00
9.000000000000000000e+00,2.520000000000000000e+05,1.659684932444936145e-01,1.000000000000000000e+00
1.000000000000000000e+01,2.800000000000000000e+05,1.844374926750010357e-01,1.000000000000000000e+00
1.100000000000000000e+01,3.080000000000000000e+05,2.029121172226840963e-01,1.000000000000000000e+00
1.200000000000000000e+01,3.360000000000000000e+05,2.213923695808706904e-01,1.000000000000000000e+00
1.300000000000000000e+01,3.640000000000000000e+05,2.398782539787318036e-01,1.000000000000000000e+00
1.400000000000000000e+01,3.920000000000000000e+05,2.583697742008937426e-01,1.000000000000000000e+00
1.500000000000000000e+01,4.200000000000000000e+05,2.768669339160651499e-01,1.000000000000000000e+00
1.600000000000000000e+01,4.480000000000000000e+05,2.953697361328852522e-01,1.000000000000000000e+00
1.700000000000000000e+01,4.760000000000000000e+05,3.138781851989968508e-01,1.000000000000000000e+00
1.800000000000000000e+01,5.040000000000000000e+05,3.323922846150841326e-01,1.000000000000000000e+00
1.900000000000000000e+01,5.320000000000000000e+05,3.509120382684479122e-01,1.000000000000000000e+00
2.000000000000000000e+01,5.600000000000000000e+05,3.694374489577657572e-01,1.000000000000000000e+00
2.100000000000000000e+01,5.880000000000000000e+05,3.879685215093227058e-01,1.000000000000000000e+00
2.200000000000000000e+01,6.160000000000000000e+05,4.065052593803892833e-01,1.000000000000000000e+00
2.300000000000000000e+01,6.440000000000000000e+05,4.250476654562790335e-01,1.000000000000000000e+00
2.400000000000000000e+01,6.720000000000000000e+05,4.435957440519699424e-01,1.000000000000000000e+00
2.500000000000000000e+01,7.000000000000000000e+05,4.621494989313099100e-01,1.000000000000000000e+00
2.600000000000000000e+01,7.280000000000000000e+05,4.807089336249686373e-01,1.000000000000000000e+00
2.700000000000000000e+01,7.560000000000000000e+05,4.992740515825550007e-01,1.000000000000000000e+00
2.800000000000000000e+01,7.840000000000000000e+05,5.178448568332661983e-01,1.000000000000000000e+00
2.900000000000000000e+01,8.120000000000000000e+05,5.364213529501363764e-01,1.000000000000000000e+00
3.000000000000000000e+01,8.400000000000000000e+05,5.550035436613188766e-01,1.000000000000000000e+00
3.100000000000000000e+01,8.680000000000000000e+05,5.735914324687845234e-01,1.000000000000000000e+00
3.200000000000000000e+01,8.960000000000000000e+05,5.921850232940061298e-01,1.000000000000000000e+00
3.300000000000000000e+01,9.240000000000000000e+05,6.107843198005410423e-01,1.000000000000000000e+00
3.400000000000000000e+01,9.520000000000000000e+05,6.293893255694383848e-01,1.000000000000000000e+00
3.500000000000000000e+01,9.800000000000000000e+05,6.480000444172241414e-01,1.000000000000000000e+00
3.600000000000000000e+01,1.008000000000000000e+06,6.666164799651470574e-01,1.000000000000000000e+00
3.700000000000000000e+01,1.036000000000000000e+06,6.852386359431791307e-01,1.000000000000000000e+00
3.800000000000000000e+01,1.064000000000000000e+06,7.038665160866990345e-01,1.000000000000000000e+00
3.900000000000000000e+01,1.092000000000000000e+06,7.225001268226254325e-01,1.000000000000000000e+00
4.000000000000000000e+01,1.120000000000000000e+06,7.411394632453071063e-01,1.000000000000000000e+00
4.100000000000000000e+01,1.148000000000000000e+06,7.597845382464479824e-01,1.000000000000000000e+00
4.200000000000000000e+01,1.176000000000000000e+06,7.784353519289467505e-01,1.000000000000000000e+00
4.300000000000000000e+01,1.204000000000000000e+06,7.970919082165265346e-01,1.000000000000000000e+00
4.400000000000000000e+01,1.232000000000000000e+06,8.157542108450347440e-01,1.000000000000000000e+00
4.500000000000000000e+01,1.260000000000000000e+06,8.344222635657516651e-01,1.000000000000000000e+00
4.600000000000000000e+01,1.288000000000000000e+06,8.530960700304276445e-01,1.000000000000000000e+00
4.700000000000000000e+01,1.316000000000000000e+06,8.717756339629921802e-01,1.000000000000000000e+00
4.800000000000000000e+01,1.344000000000000000e+06,8.904609590615132353e-01,1.000000000000000000e+00
4.900000000000000000e+01,1.372000000000000000e+06,9.091520490349089823e-01,1.000000000000000000e+00
5.000000000000000000e+01,1.400000000000000000e+06,9.278489076255961310e-01,1.000000000000000000e+00
5.100000000000000000e+01,1.428000000000000000e+06,9.465515385052456487e-01,1.000000000000000000e+00
5.200000000000000000e+01,1.456000000000000000e+06,9.652599454290861081e-01,1.000000000000000000e+00
5.300000000000000000e+01,1.484000000000000000e+06,9.839741320316575113e-01,1.000000000000000000e+00
5.400000000000000000e+01,1.512000000000000000e+06,1.002694102101985285e+00,0.000000000000000000e+00
