step,total_load_N,max_DCR,max_moment_Nm,moment_capacity_Nm,all_checks_safe
1.000000000000000000e+00,2.800000000000000000e+04,3.473576879747241469e-02,5.598156195534135122e+02,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+00,5.600000000000000000e+04,6.947045529496703731e-02,1.119796590949950314e+03,9.598425196850392967e+04,1.000000000000000000e+00
3.000000000000000000e+00,8.400000000000000000e+04,1.042043426915999077e-01,1.679898787864033238e+03,9.598425196850392967e+04,1.000000000000000000e+00
4.000000000000000000e+00,1.120000000000000000e+05,1.389371881759607630e-01,2.240118449327343569e+03,9.598425196850392967e+04,1.000000000000000000e+00
5.000000000000000000e+00,1.400000000000000000e+05,1.736687378411964355e-01,2.800451444956322121e+03,9.598425196850392967e+04,1.000000000000000000e+00
6.000000000000000000e+00,1.680000000000000000e+05,2.083990278292190135e-01,3.360898623474049145e+03,9.598425196850392967e+04,1.000000000000000000e+00
7.000000000000000000e+00,1.960000000000000000e+05,2.431280654983467571e-01,3.921460121479115514e+03,9.598425196850392967e+04,1.000000000000000000e+00
8.000000000000000000e+00,2.240000000000000000e+05,2.778558243033003583e-01,4.482135770808853522e+03,9.598425196850392967e+04,1.000000000000000000e+00
9.000000000000000000e+00,2.520000000000000000e+05,3.125822797572269662e-01,5.042925206526647344e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.000000000000000000e+01,2.800000000000000000e+05,3.473074018927803652e-01,5.603828045675529211e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.100000000000000000e+01,3.080000000000000000e+05,3.820311585622500616e-01,6.164843883712252136e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.200000000000000000e+01,3.360000000000000000e+05,4.167535173761257039e-01,6.725972309178412615e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.300000000000000000e+01,3.640000000000000000e+05,4.514744472774743778e-01,7.287212928457212001e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.400000000000000000e+01,3.920000000000000000e+05,4.861939161515304031e-01,7.848565305389401146e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.500000000000000000e+01,4.200000000000000000e+05,5.209118885703238888e-01,8.410028996019826081e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.600000000000000000e+01,4.480000000000000000e+05,5.556283332661023922e-01,8.971603626620382784e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.700000000000000000e+01,4.760000000000000000e+05,5.903432183738341887e-01,9.533288795387925347e+03,9.598425196850392967e+04,1.000000000000000000e+00
1.800000000000000000e+01,5.040000000000000000e+05,6.250565116731547910e-01,1.009508409503611256e+04,9.598425196850392967e+04,1.000000000000000000e+00
1.900000000000000000e+01,5.320000000000000000e+05,6.597681802612421764e-01,1.065698910507139772e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.000000000000000000e+01,5.600000000000000000e+05,6.944781919254652269e-01,1.121900341715493414e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.100000000000000000e+01,5.880000000000000000e+05,7.291865137461973623e-01,1.178112661128548098e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.200000000000000000e+01,6.160000000000000000e+05,7.638931134274510315e-01,1.234335827740763125e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.300000000000000000e+01,6.440000000000000000e+05,7.985979582138271748e-01,1.290569799749832782e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.400000000000000000e+01,6.720000000000000000e+05,8.333010154473322606e-01,1.346814535551568406e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.500000000000000000e+01,7.000000000000000000e+05,8.680022522042688538e-01,1.403069993067657379e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.600000000000000000e+01,7.280000000000000000e+05,9.027016350022807334e-01,1.459336129694233750e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.700000000000000000e+01,7.560000000000000000e+05,9.373991318983373455e-01,1.515612905647019579e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.800000000000000000e+01,7.840000000000000000e+05,9.720947101538655044e-01,1.571900278024373074e+04,9.598425196850392967e+04,1.000000000000000000e+00
2.900000000000000000e+01,8.120000000000000000e+05,1.006788337023016622e+00,1.628198204931219880e+04,9.598425196850392967e+04,0.000000000000000000e+00
